has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,has_lit,scene_label,highway,surface,Cluster,u,v,key
0.0,1.0,0.0,1.0,0.5674999803815521,-0.6292875658635105,-0.2056783236893388,0.6438504756529455,1.0,1.0,bridge,service,,6,11662034352,11662034353,0
0.0,1.0,0.0,1.0,0.5572504058405049,-0.5759393283063683,-0.018699904886840105,0.6719255868126082,1.0,1.0,alley,footway,,6,11662034352,6970838872,0
0.0,1.0,0.0,1.0,0.5674999803815521,-0.6292875658635105,-0.2056783236893388,0.6438504756529455,1.0,1.0,bridge,service,,6,11662034353,11662034352,0
0.0,1.0,0.0,1.0,0.6054582544111783,-0.2883102610990613,-1.3313448391432618,0.6653279828653808,1.0,0.0,street,primary,asphalt,3,11662051504,6773492707,0
0.0,1.0,0.0,0.0,0.5977947045515091,-0.04581002348403448,-0.4937161964852327,0.649858866234134,1.0,0.0,street,primary,asphalt,3,11662051504,9984670422,0
0.0,1.0,1.0,1.0,0.5396140786953625,1.3303020764841864,-0.6480535709127582,0.4981685073811133,1.0,0.0,crosswalk,unclassified,asphalt,3,11664622842,4004288787,0
0.0,1.0,1.0,1.0,0.5814188020203033,1.3165255066549657,0.18634051817316888,0.476951877792619,1.0,1.0,residential_neighborhood,pedestrian,asphalt,3,11664622846,9985849233,0
1.0,1.0,0.0,1.0,0.5943150719825082,1.2521165547321442,0.19217918903663403,0.345864114537861,1.0,0.0,residential_neighborhood,tertiary,,6,11664682736,4196499460,0
1.0,1.0,0.0,0.0,0.6117006495353756,1.4540318754227155,0.1776930116973346,0.358083498899507,1.0,0.0,residential_neighborhood,tertiary,,6,11664682736,6539056917,0
1.0,1.0,0.0,0.0,0.5813773055538359,1.0176976899995713,0.03102274035080213,0.49371823047381014,1.0,0.0,residential_neighborhood,tertiary,asphalt,3,11664682737,10973702420,0
1.0,1.0,0.0,1.0,0.6021391185687444,0.7101224102690876,0.08258335565754416,0.4450492233698735,1.0,0.0,residential_neighborhood,tertiary,asphalt,3,11664682738,12233693924,0
