has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,Cluster,u,v,key
1.0,1.0,1.0,1.0,0.6227689721080442,-0.7915752474014075,-6.273676797273212,0.5613004692641694,1.0,alley,4,11525077043,11525077044,0
1.0,1.0,1.0,0.0,0.6216072717348262,-0.4902071050652044,0.1928439420062828,0.5213950319699764,1.0,highway,6,11525077043,7251659334,0
1.0,1.0,1.0,1.0,0.6227689721080442,-0.7915752474014075,-6.273676797273212,0.5613004692641694,1.0,alley,4,11525077044,11525077043,0
0.0,1.0,1.0,1.0,0.6448335221071211,0.6749538957537566,0.1928439420062828,0.6727264650003438,1.0,street,3,11535809111,11535809112,0
0.0,1.0,1.0,1.0,0.6448335221071211,0.6749538957537566,0.1928439420062828,0.6727264650003438,1.0,street,3,11535809112,11535809111,0
0.0,1.0,1.0,1.0,0.6570861140968183,0.5453510152354551,0.14381480026975516,0.6719785413290654,1.0,street,3,11535809112,8186551796,0
0.0,1.0,0.0,1.0,0.6534483279088504,-0.09141021011653103,0.1928439420062828,0.6785435793632881,1.0,highway,3,11535809123,6292473794,0
0.0,1.0,1.0,1.0,0.6530996794306699,0.7730800757570924,0.16661149401278025,0.6757445634957797,1.0,highway,3,11535809124,6292473793,0
0.0,1.0,1.0,1.0,0.5808226482744654,0.061487054898719876,0.15975345470799532,0.680046099552608,1.0,highway,3,11652962913,1909558883,0
0.0,1.0,1.0,1.0,0.5835055905907519,-0.39140252820154503,0.1928439420062828,0.6616582948106198,1.0,bridge,3,11652962914,5286733424,0
1.0,1.0,1.0,0.0,0.6341393491926719,-1.594453007626524,0.12107848842820508,0.5738459824811861,1.0,alley,0,11659086135,5819914021,0
1.0,1.0,1.0,0.0,0.6368401017040555,-1.541738075430345,-0.3136971337630962,0.6156010608291554,1.0,alley,0,11659086135,8317645476,0
0.0,1.0,1.0,1.0,0.5982300921790051,-0.15090023701517416,0.1523447240514032,0.66451281881148,1.0,alley,6,11659196617,3658402436,0
1.0,1.0,1.0,1.0,0.5780617081770835,0.9932976780552406,-1.2447696970965896,0.4476388658898024,1.0,residential_neighborhood,5,11659196634,6317818904,0
1.0,1.0,1.0,1.0,0.5914225868748203,0.8936819589465586,-0.2767683132499356,0.35413627085995913,1.0,residential_neighborhood,5,11661751041,2780761234,0
0.0,1.0,1.0,1.0,0.5791297899915604,0.5278858591466663,0.17605517529044154,0.38119962336610796,1.0,residential_neighborhood,5,11661751041,746028561,0
0.0,1.0,1.0,0.0,0.5794294607350575,0.5595208066080248,0.09191729256288102,0.580671198468567,1.0,residential_neighborhood,5,11661751044,2780761231,0
0.0,1.0,0.0,0.0,0.5132375576550319,0.689229832237076,-0.2234165609095072,0.6785843601859078,1.0,crosswalk,5,11661863400,6773494901,0
0.0,1.0,0.0,1.0,0.5494188618926936,-0.027869967373714985,0.06084839682932389,0.6614109098288008,1.0,highway,3,11662034353,12067619,0
0.0,1.0,0.0,1.0,0.5440853574742405,-0.4034607756753498,-0.08676501875026028,0.6549224975081596,1.0,bridge,3,11662034353,88777530,0
0.0,1.0,0.0,1.0,0.6054582544111783,-0.29390012655730774,-1.3321229710135924,0.6653279828653808,1.0,street,5,11662051504,6773492707,0
0.0,1.0,0.0,0.0,0.5977947045515091,-0.05088494205057722,-0.49449432835556334,0.649858866234134,1.0,street,5,11662051504,9984670422,0
0.0,1.0,1.0,1.0,0.5396140786953625,1.3281493185533764,-0.6488317027830889,0.4981685073811133,1.0,crosswalk,5,11664622842,4004288787,0
0.0,1.0,1.0,1.0,0.5814188020203033,1.3143434943123593,0.1855623863028382,0.476951877792619,1.0,residential_neighborhood,5,11664622846,9985849233,0
1.0,1.0,0.0,1.0,0.5943150719825082,1.249797770607717,0.19140105716630335,0.345864114537861,1.0,residential_neighborhood,3,11664682736,4196499460,0
1.0,1.0,0.0,0.0,0.6117006495353756,1.452141856514354,0.17691487982700393,0.358083498899507,1.0,residential_neighborhood,3,11664682736,6539056917,0
1.0,1.0,0.0,0.0,0.5813773055538359,1.0148811197000132,0.030244608480471454,0.49371823047381014,1.0,residential_neighborhood,5,11664682737,10973702420,0
1.0,1.0,0.0,1.0,0.6021391185687444,0.7066527068599714,0.08180522378721347,0.4450492233698735,1.0,residential_neighborhood,5,11664682738,12233693924,0
