has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,highway,surface,Cluster,u,v,key
1.0,1.0,1.0,1.0,0.5196301559305466,1.2996404222294229,0.07872974883949674,0.5120991897293822,1.0,residential_neighborhood,secondary,asphalt,0,12144820698,11676245112,0
1.0,1.0,1.0,1.0,0.5614688964114766,-0.15298108358610948,0.004175335908193215,0.5574924656943481,1.0,residential_neighborhood,secondary,asphalt,0,12144820698,11676245112,0
0.0,1.0,1.0,1.0,0.5041292522992731,1.3753035888594205,-6.696402526292771,0.6309609409574494,1.0,residential_neighborhood,secondary,asphalt,4,12144820698,11676245112,0
0.0,1.0,0.0,1.0,0.45340177268189785,1.1876030371111954,-17.33001820475149,0.6493969940433132,1.0,crosswalk,secondary,asphalt,5,12144820698,11676245112,0
0.0,1.0,1.0,1.0,0.5074206433092613,1.402860946733721,-0.007303676876469035,0.6456829868232729,1.0,residential_neighborhood,secondary,asphalt,0,12144820698,11676245112,0
1.0,1.0,1.0,1.0,0.5026303786515196,1.1275942671744947,-8.249323311465078,0.6371448424974174,1.0,residential_neighborhood,secondary,asphalt,4,12144820698,11676245112,0
1.0,1.0,1.0,0.0,0.6158535603070935,-1.315050825038507,0.07872974883949674,0.5656378455572352,1.0,alley,service,concrete,6,11693044398,242433600,0
0.0,1.0,1.0,1.0,0.6098161822110378,-0.7726073700783433,0.07872974883949674,0.6507846666337397,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.6105572787007677,-1.4348301218773103,0.07872974883949674,0.6153308806559227,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5635442718227586,1.0113315291681002,0.07872974883949674,0.5903039210555191,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5646230364524413,0.915256581582577,-0.3094064095067176,0.5880473745827856,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.6254592450181415,-1.28647761834075,0.07872974883949674,0.5925979478722708,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5838583078756093,-1.428150633912879,0.07872974883949674,0.5820773000670811,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.5872326866315979,1.0609400110695748,0.07872974883949674,0.5516984581153751,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.5694845820695477,-0.6701029748037577,-4.928524572689571,0.5496486291569208,1.0,alley,service,concrete,2,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5656358581362454,1.0122524882899497,0.07872974883949674,0.5930587930173234,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5691538084027117,1.0749610208509388,0.07872974883949674,0.595885365526555,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.6148322597681664,-1.2770991596855967,0.07872974883949674,0.5958837045437831,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5703567278936899,0.829422562664439,-0.23195056948348475,0.586095803397323,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.623780833064486,-1.045664602281885,-1.4610730409632926,0.6468041048544082,1.0,street,service,concrete,6,11693044398,242433600,0
