u,v,key,geometry,SU_foot,SU_highway,SU_ALLEY,SU_lit,SU_maxspeed,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,MU_traffic_volume,MU_traffic_speed,MU_accident_risk,MU_safety_of_crossings,SU_FROM_IMAGES_sidewalk_ratio_binned,SU_FROM_IMAGES_greenery_ratio_binned,SU_FROM_IMAGES_obstruction_density_binned,MU_convenience_binned,MU_attractiveness_binned,MU_safety_of_sidewalks_binned,cluster
6534579883,6534579884,0,"LINESTRING (121.03794860839844 14.576207160949707, 121.0379638671875 14.57616138458252)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
1532768062,6534583886,0,"LINESTRING (121.03858947753906 14.576316833496094, 121.03866577148438 14.576336860656738)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
1532768062,6534579883,0,"LINESTRING (121.0379638671875 14.57616138458252, 121.03858947753906 14.576316833496094)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
1532768062,6534579882,0,"LINESTRING (121.03860473632812 14.576239585876465, 121.03858947753906 14.576316833496094)",0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,1,3,3,0
6534579884,6534579883,0,"LINESTRING (121.03794860839844 14.576207160949707, 121.0379638671875 14.57616138458252)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6534579884,6534583885,0,"LINESTRING (121.03793334960938 14.576239585876465, 121.03794860839844 14.576207160949707)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6534583886,1278914921,0,"LINESTRING (121.03866577148438 14.576336860656738, 121.03873443603516 14.576355934143066)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534583886,1532768062,0,"LINESTRING (121.03858947753906 14.576316833496094, 121.03866577148438 14.576336860656738)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534583886,6534583887,0,"LINESTRING (121.03863525390625 14.576419830322266, 121.03866577148438 14.576336860656738)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6534579882,1532768062,0,"LINESTRING (121.03860473632812 14.576239585876465, 121.03858947753906 14.576316833496094)",0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,1,3,3,0
