u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_bicycle,SU_CYCLEWAY_CLASS,SU_CYCLEWAY_LANE_TYPE,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_cycling_lane_coverage,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_has_bicycle,SU_FROM_IMAGES_road_condition,MU_DISMOUNT,MU_convenience,MU_attractiveness,MU_traffic_safety,MU_security,MU_accident_risk,MU_traffic_volume,MU_safety_of_sidewalks_and_crossings
25583995,7197965249,0,-14.35566897280295,-14.35566897280295,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05169526998744245,-0.02371467695755003,-1.0,0.0,0.0,-9.0,-0.03982275941928212,-1.5988650813081975,-3.7169811320754715,0.0,0.0,0.0
25583995,6369607704,0,-14.362235958785677,-14.362235958785677,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010466161551303421,-0.052177519701368746,-1.0,0.0,0.0,-9.0,-0.0876188538381475,-1.5576359728720583,-3.7169811320754715,0.0,0.0,0.0
7197965249,394432938,0,-14.415184091379324,-14.415184091379324,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04267782426778244,-0.06452620401024423,-1.0,0.0,0.0,-9.0,-0.10835532371531577,-1.5898476355885371,-3.7169811320754715,0.0,0.0,0.0
7197965249,25583995,0,-14.35566897280295,-14.35566897280295,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05169526998744245,-0.02371467695755003,-1.0,0.0,0.0,-9.0,-0.03982275941928212,-1.5988650813081975,-3.7169811320754715,0.0,0.0,0.0
7197965249,8377485218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394432938,7185202535,0,-13.339406488494426,-13.339406488494424,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003544385371354819,-0.042704398489019635,0.0,0.0,0.0,-9.0,-0.07171115972684429,-1.5507141966921099,-2.7169811320754715,0.0,0.0,0.0
394432938,7197965249,0,-14.415184091379324,-14.415184091379324,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04267782426778244,-0.06452620401024423,-1.0,0.0,0.0,-9.0,-0.10835532371531577,-1.5898476355885371,-3.7169811320754715,0.0,0.0,0.0
8377485218,7197965249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8377485218,7197965248,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237016153,6534506793,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
